Consumption (kWh), Start, End, Price(p), Cost(p)
 0.000, 2024-07-21T01:00:00+01:00, 2024-07-21T01:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T01:30:00+01:00, 2024-07-21T02:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-21T02:00:00+01:00, 2024-07-21T02:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T02:30:00+01:00, 2024-07-21T03:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-21T03:00:00+01:00, 2024-07-21T03:30:00+01:00, 15.00,  0.000
 0.000, 2024-07-21T03:30:00+01:00, 2024-07-21T04:00:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T04:00:00+01:00, 2024-07-21T04:30:00+01:00, 15.00,  0.015
 0.000, 2024-07-21T04:30:00+01:00, 2024-07-21T05:00:00+01:00, 15.00,  0.000
 0.000, 2024-07-21T05:00:00+01:00, 2024-07-21T05:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T05:30:00+01:00, 2024-07-21T06:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-21T06:00:00+01:00, 2024-07-21T06:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T06:30:00+01:00, 2024-07-21T07:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-21T07:00:00+01:00, 2024-07-21T07:30:00+01:00, 15.00,  0.000
 0.000, 2024-07-21T07:30:00+01:00, 2024-07-21T08:00:00+01:00, 15.00,  0.000
 0.003, 2024-07-21T08:00:00+01:00, 2024-07-21T08:30:00+01:00, 15.00,  0.045
 0.001, 2024-07-21T08:30:00+01:00, 2024-07-21T09:00:00+01:00, 15.00,  0.015
 0.002, 2024-07-21T09:00:00+01:00, 2024-07-21T09:30:00+01:00, 15.00,  0.030
 0.001, 2024-07-21T09:30:00+01:00, 2024-07-21T10:00:00+01:00, 15.00,  0.015
 0.002, 2024-07-21T10:00:00+01:00, 2024-07-21T10:30:00+01:00, 15.00,  0.030
 0.005, 2024-07-21T10:30:00+01:00, 2024-07-21T11:00:00+01:00, 15.00,  0.075
 0.003, 2024-07-21T11:00:00+01:00, 2024-07-21T11:30:00+01:00, 15.00,  0.045
 0.002, 2024-07-21T11:30:00+01:00, 2024-07-21T12:00:00+01:00, 15.00,  0.030
 0.010, 2024-07-21T12:00:00+01:00, 2024-07-21T12:30:00+01:00, 15.00,  0.150
 0.012, 2024-07-21T12:30:00+01:00, 2024-07-21T13:00:00+01:00, 15.00,  0.180
 0.020, 2024-07-21T13:00:00+01:00, 2024-07-21T13:30:00+01:00, 15.00,  0.300
 0.021, 2024-07-21T13:30:00+01:00, 2024-07-21T14:00:00+01:00, 15.00,  0.315
 0.008, 2024-07-21T14:00:00+01:00, 2024-07-21T14:30:00+01:00, 15.00,  0.120
 0.005, 2024-07-21T14:30:00+01:00, 2024-07-21T15:00:00+01:00, 15.00,  0.075
 0.005, 2024-07-21T15:00:00+01:00, 2024-07-21T15:30:00+01:00, 15.00,  0.075
 0.006, 2024-07-21T15:30:00+01:00, 2024-07-21T16:00:00+01:00, 15.00,  0.090
 0.253, 2024-07-21T16:00:00+01:00, 2024-07-21T16:30:00+01:00, 15.00,  3.795
 0.677, 2024-07-21T16:30:00+01:00, 2024-07-21T17:00:00+01:00, 15.00, 10.155
 0.911, 2024-07-21T17:00:00+01:00, 2024-07-21T17:30:00+01:00, 15.00, 13.665
 0.697, 2024-07-21T17:30:00+01:00, 2024-07-21T18:00:00+01:00, 15.00, 10.455
 0.272, 2024-07-21T18:00:00+01:00, 2024-07-21T18:30:00+01:00, 15.00,  4.080
 0.006, 2024-07-21T18:30:00+01:00, 2024-07-21T19:00:00+01:00, 15.00,  0.090
 0.001, 2024-07-21T19:00:00+01:00, 2024-07-21T19:30:00+01:00, 15.00,  0.015
 0.001, 2024-07-21T19:30:00+01:00, 2024-07-21T20:00:00+01:00, 15.00,  0.015
 0.002, 2024-07-21T20:00:00+01:00, 2024-07-21T20:30:00+01:00, 15.00,  0.030
 0.003, 2024-07-21T20:30:00+01:00, 2024-07-21T21:00:00+01:00, 15.00,  0.045
 0.000, 2024-07-21T21:00:00+01:00, 2024-07-21T21:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-21T21:30:00+01:00, 2024-07-21T22:00:00+01:00, 15.00,  0.015
 0.001, 2024-07-21T22:00:00+01:00, 2024-07-21T22:30:00+01:00, 15.00,  0.015
 0.002, 2024-07-21T22:30:00+01:00, 2024-07-21T23:00:00+01:00, 15.00,  0.030
 0.001, 2024-07-21T23:00:00+01:00, 2024-07-21T23:30:00+01:00, 15.00,  0.015
 0.002, 2024-07-21T23:30:00+01:00, 2024-07-22T00:00:00+01:00, 15.00,  0.030
 0.002, 2024-07-22T00:00:00+01:00, 2024-07-22T00:30:00+01:00, 15.00,  0.030
 0.001, 2024-07-22T00:30:00+01:00, 2024-07-22T01:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-22T01:00:00+01:00, 2024-07-22T01:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-22T01:30:00+01:00, 2024-07-22T02:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-22T02:00:00+01:00, 2024-07-22T02:30:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T02:30:00+01:00, 2024-07-22T03:00:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T03:00:00+01:00, 2024-07-22T03:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-22T03:30:00+01:00, 2024-07-22T04:00:00+01:00, 15.00,  0.015
 0.000, 2024-07-22T04:00:00+01:00, 2024-07-22T04:30:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T04:30:00+01:00, 2024-07-22T05:00:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T05:00:00+01:00, 2024-07-22T05:30:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T05:30:00+01:00, 2024-07-22T06:00:00+01:00, 15.00,  0.000
 0.000, 2024-07-22T06:00:00+01:00, 2024-07-22T06:30:00+01:00, 15.00,  0.000
 0.001, 2024-07-22T06:30:00+01:00, 2024-07-22T07:00:00+01:00, 15.00,  0.015
 0.007, 2024-07-22T07:00:00+01:00, 2024-07-22T07:30:00+01:00, 15.00,  0.105
 0.007, 2024-07-22T07:30:00+01:00, 2024-07-22T08:00:00+01:00, 15.00,  0.105
 0.002, 2024-07-22T08:00:00+01:00, 2024-07-22T08:30:00+01:00, 15.00,  0.030
 0.008, 2024-07-22T08:30:00+01:00, 2024-07-22T09:00:00+01:00, 15.00,  0.120
 0.006, 2024-07-22T09:00:00+01:00, 2024-07-22T09:30:00+01:00, 15.00,  0.090
 0.003, 2024-07-22T09:30:00+01:00, 2024-07-22T10:00:00+01:00, 15.00,  0.045
 0.009, 2024-07-22T10:00:00+01:00, 2024-07-22T10:30:00+01:00, 15.00,  0.135
 0.021, 2024-07-22T10:30:00+01:00, 2024-07-22T11:00:00+01:00, 15.00,  0.315
 0.027, 2024-07-22T11:00:00+01:00, 2024-07-22T11:30:00+01:00, 15.00,  0.405
 0.016, 2024-07-22T11:30:00+01:00, 2024-07-22T12:00:00+01:00, 15.00,  0.240
 0.043, 2024-07-22T12:00:00+01:00, 2024-07-22T12:30:00+01:00, 15.00,  0.645
 1.284, 2024-07-22T12:30:00+01:00, 2024-07-22T13:00:00+01:00, 15.00, 19.260
 1.453, 2024-07-22T13:00:00+01:00, 2024-07-22T13:30:00+01:00, 15.00, 21.795
 1.897, 2024-07-22T13:30:00+01:00, 2024-07-22T14:00:00+01:00, 15.00, 28.455
