Consumption (kWh), Start, End, Price
null, 2023-08-13T23:00+01:00, 2023-08-13T23:00+01:00, 19.1205
null, 2023-08-13T23:30+01:00, 2023-08-13T23:30+01:00, 18.501
0.213, 2023-08-14T00:00+01:00, 2023-08-14T00:00+01:00, 17.9445
0.211, 2023-08-14T00:30+01:00, 2023-08-14T00:30+01:00, 16.737
0.242, 2023-08-14T01:00+01:00, 2023-08-14T01:00+01:00, 16.5795
0.217, 2023-08-14T01:30+01:00, 2023-08-14T01:30+01:00, 16.737
0.812, 2023-08-14T02:00+01:00, 2023-08-14T02:00+01:00, 15.6555
0.233, 2023-08-14T02:30+01:00, 2023-08-14T02:30+01:00, 15.2145
0.28, 2023-08-14T03:00+01:00, 2023-08-14T03:00+01:00, 15.393
0.211, 2023-08-14T03:30+01:00, 2023-08-14T03:30+01:00, 15.33
0.214, 2023-08-14T04:00+01:00, 2023-08-14T04:00+01:00, 15.6555
0.209, 2023-08-14T04:30+01:00, 2023-08-14T04:30+01:00, 15.519
0.261, 2023-08-14T05:00+01:00, 2023-08-14T05:00+01:00, 17.283
0.216, 2023-08-14T05:30+01:00, 2023-08-14T05:30+01:00, 17.8815
0.223, 2023-08-14T06:00+01:00, 2023-08-14T06:00+01:00, 18.039
0.217, 2023-08-14T06:30+01:00, 2023-08-14T06:30+01:00, 20.013
0.267, 2023-08-14T07:00+01:00, 2023-08-14T07:00+01:00, 17.241
0.271, 2023-08-14T07:30+01:00, 2023-08-14T07:30+01:00, 22.2915
0.218, 2023-08-14T08:00+01:00, 2023-08-14T08:00+01:00, 20.0655
0.213, 2023-08-14T08:30+01:00, 2023-08-14T08:30+01:00, 22.932
0.277, 2023-08-14T09:00+01:00, 2023-08-14T09:00+01:00, 20.9475
0.296, 2023-08-14T09:30+01:00, 2023-08-14T09:30+01:00, 20.811
0.356, 2023-08-14T10:00+01:00, 2023-08-14T10:00+01:00, 18.7425
0.431, 2023-08-14T10:30+01:00, 2023-08-14T10:30+01:00, 18.522
0.457, 2023-08-14T11:00+01:00, 2023-08-14T11:00+01:00, 18.3435
0.289, 2023-08-14T11:30+01:00, 2023-08-14T11:30+01:00, 18.102
0.29, 2023-08-14T12:00+01:00, 2023-08-14T12:00+01:00, 21.3885
0.86, 2023-08-14T12:30+01:00, 2023-08-14T12:30+01:00, 19.047
0.489, 2023-08-14T13:00+01:00, 2023-08-14T13:00+01:00, 17.745
0.43, 2023-08-14T13:30+01:00, 2023-08-14T13:30+01:00, 16.317
0.284, 2023-08-14T14:00+01:00, 2023-08-14T14:00+01:00, 18.7635
0.271, 2023-08-14T14:30+01:00, 2023-08-14T14:30+01:00, 15.624
0.286, 2023-08-14T15:00+01:00, 2023-08-14T15:00+01:00, 18.606
0.306, 2023-08-14T15:30+01:00, 2023-08-14T15:30+01:00, 18.522
0.569, 2023-08-14T16:00+01:00, 2023-08-14T16:00+01:00, 31.563
0.356, 2023-08-14T16:30+01:00, 2023-08-14T16:30+01:00, 30.681
0.329, 2023-08-14T17:00+01:00, 2023-08-14T17:00+01:00, 31.7835
0.318, 2023-08-14T17:30+01:00, 2023-08-14T17:30+01:00, 33.5895
0.409, 2023-08-14T18:00+01:00, 2023-08-14T18:00+01:00, 35.133
0.368, 2023-08-14T18:30+01:00, 2023-08-14T18:30+01:00, 34.4295
0.279, 2023-08-14T19:00+01:00, 2023-08-14T19:00+01:00, 23.9925
0.299, 2023-08-14T19:30+01:00, 2023-08-14T19:30+01:00, 22.2285
0.334, 2023-08-14T20:00+01:00, 2023-08-14T20:00+01:00, 23.289
0.302, 2023-08-14T20:30+01:00, 2023-08-14T20:30+01:00, 23.1945
0.291, 2023-08-14T21:00+01:00, 2023-08-14T21:00+01:00, 21.63
0.33, 2023-08-14T21:30+01:00, 2023-08-14T21:30+01:00, 18.3855
0.317, 2023-08-14T22:00+01:00, 2023-08-14T22:00+01:00, 20.1915
0.318, 2023-08-14T22:30+01:00, 2023-08-14T22:30+01:00, 17.199
