Consumption (kWh), Start, End, Price(p), Cost(p)
 0.311, 2023-08-09T00:30:00+01:00, 2023-08-09T01:00:00+01:00,    nu,    nul
 0.226, 2023-08-09T01:00:00+01:00, 2023-08-09T01:30:00+01:00,    nu,    nul
 0.228, 2023-08-09T01:30:00+01:00, 2023-08-09T02:00:00+01:00,    nu,    nul
 0.218, 2023-08-09T02:00:00+01:00, 2023-08-09T02:30:00+01:00,    nu,    nul
 0.202, 2023-08-09T02:30:00+01:00, 2023-08-09T03:00:00+01:00,    nu,    nul
 0.217, 2023-08-09T03:00:00+01:00, 2023-08-09T03:30:00+01:00,    nu,    nul
 0.214, 2023-08-09T03:30:00+01:00, 2023-08-09T04:00:00+01:00,    nu,    nul
 0.243, 2023-08-09T04:00:00+01:00, 2023-08-09T04:30:00+01:00,    nu,    nul
 0.206, 2023-08-09T04:30:00+01:00, 2023-08-09T05:00:00+01:00,    nu,    nul
 0.225, 2023-08-09T05:00:00+01:00, 2023-08-09T05:30:00+01:00,    nu,    nul
 0.220, 2023-08-09T05:30:00+01:00, 2023-08-09T06:00:00+01:00,    nu,    nul
 0.258, 2023-08-09T06:00:00+01:00, 2023-08-09T06:30:00+01:00,    nu,    nul
 0.231, 2023-08-09T06:30:00+01:00, 2023-08-09T07:00:00+01:00,    nu,    nul
 0.221, 2023-08-09T07:00:00+01:00, 2023-08-09T07:30:00+01:00,    nu,    nul
 0.322, 2023-08-09T07:30:00+01:00, 2023-08-09T08:00:00+01:00,    nu,    nul
 0.322, 2023-08-09T08:00:00+01:00, 2023-08-09T08:30:00+01:00,    nu,    nul
 0.316, 2023-08-09T08:30:00+01:00, 2023-08-09T09:00:00+01:00,    nu,    nul
 0.300, 2023-08-09T09:00:00+01:00, 2023-08-09T09:30:00+01:00,    nu,    nul
 0.498, 2023-08-09T09:30:00+01:00, 2023-08-09T10:00:00+01:00,    nu,    nul
 0.720, 2023-08-09T10:00:00+01:00, 2023-08-09T10:30:00+01:00,    nu,    nul
 0.397, 2023-08-09T10:30:00+01:00, 2023-08-09T11:00:00+01:00,    nu,    nul
 0.560, 2023-08-09T11:00:00+01:00, 2023-08-09T11:30:00+01:00,    nu,    nul
 0.996, 2023-08-09T11:30:00+01:00, 2023-08-09T12:00:00+01:00,    nu,    nul
 0.395, 2023-08-09T12:00:00+01:00, 2023-08-09T12:30:00+01:00,    nu,    nul
 0.280, 2023-08-09T12:30:00+01:00, 2023-08-09T13:00:00+01:00,    nu,    nul
 0.430, 2023-08-09T13:00:00+01:00, 2023-08-09T13:30:00+01:00,    nu,    nul
 0.357, 2023-08-09T13:30:00+01:00, 2023-08-09T14:00:00+01:00,    nu,    nul
 0.304, 2023-08-09T14:00:00+01:00, 2023-08-09T14:30:00+01:00,    nu,    nul
 0.302, 2023-08-09T14:30:00+01:00, 2023-08-09T15:00:00+01:00,    nu,    nul
 0.251, 2023-08-09T15:00:00+01:00, 2023-08-09T15:30:00+01:00,    nu,    nul
 0.494, 2023-08-09T15:30:00+01:00, 2023-08-09T16:00:00+01:00,    nu,    nul
 0.571, 2023-08-09T16:00:00+01:00, 2023-08-09T16:30:00+01:00,    nu,    nul
 0.302, 2023-08-09T16:30:00+01:00, 2023-08-09T17:00:00+01:00,    nu,    nul
 0.344, 2023-08-09T17:00:00+01:00, 2023-08-09T17:30:00+01:00,    nu,    nul
 0.346, 2023-08-09T17:30:00+01:00, 2023-08-09T18:00:00+01:00,    nu,    nul
 0.451, 2023-08-09T18:00:00+01:00, 2023-08-09T18:30:00+01:00,    nu,    nul
 0.332, 2023-08-09T18:30:00+01:00, 2023-08-09T19:00:00+01:00,    nu,    nul
 0.304, 2023-08-09T19:00:00+01:00, 2023-08-09T19:30:00+01:00,    nu,    nul
 0.280, 2023-08-09T19:30:00+01:00, 2023-08-09T20:00:00+01:00,    nu,    nul
 0.320, 2023-08-09T20:00:00+01:00, 2023-08-09T20:30:00+01:00,    nu,    nul
 0.325, 2023-08-09T20:30:00+01:00, 2023-08-09T21:00:00+01:00,    nu,    nul
 0.405, 2023-08-09T21:00:00+01:00, 2023-08-09T21:30:00+01:00,    nu,    nul
 0.362, 2023-08-09T21:30:00+01:00, 2023-08-09T22:00:00+01:00,    nu,    nul
 0.317, 2023-08-09T22:00:00+01:00, 2023-08-09T22:30:00+01:00,    nu,    nul
 0.263, 2023-08-09T22:30:00+01:00, 2023-08-09T23:00:00+01:00,    nu,    nul
 0.257, 2023-08-09T23:00:00+01:00, 2023-08-09T23:30:00+01:00,    nu,    nul
 0.218, 2023-08-09T23:30:00+01:00, 2023-08-10T00:00:00+01:00,    nu,    nul
 0.231, 2023-08-10T00:00:00+01:00, 2023-08-10T00:30:00+01:00,    nu,    nul
 0.234, 2023-08-10T00:30:00+01:00, 2023-08-10T01:00:00+01:00,    nu,    nul
 0.252, 2023-08-10T01:00:00+01:00, 2023-08-10T01:30:00+01:00,    nu,    nul
 0.225, 2023-08-10T01:30:00+01:00, 2023-08-10T02:00:00+01:00,    nu,    nul
 0.213, 2023-08-10T02:00:00+01:00, 2023-08-10T02:30:00+01:00,    nu,    nul
 0.307, 2023-08-10T02:30:00+01:00, 2023-08-10T03:00:00+01:00,    nu,    nul
 0.308, 2023-08-10T03:00:00+01:00, 2023-08-10T03:30:00+01:00,    nu,    nul
 0.357, 2023-08-10T03:30:00+01:00, 2023-08-10T04:00:00+01:00,    nu,    nul
 0.251, 2023-08-10T04:00:00+01:00, 2023-08-10T04:30:00+01:00,    nu,    nul
 0.247, 2023-08-10T04:30:00+01:00, 2023-08-10T05:00:00+01:00,    nu,    nul
 0.233, 2023-08-10T05:00:00+01:00, 2023-08-10T05:30:00+01:00,    nu,    nul
 0.242, 2023-08-10T05:30:00+01:00, 2023-08-10T06:00:00+01:00,    nu,    nul
 0.252, 2023-08-10T06:00:00+01:00, 2023-08-10T06:30:00+01:00,    nu,    nul
 0.243, 2023-08-10T06:30:00+01:00, 2023-08-10T07:00:00+01:00,    nu,    nul
 0.230, 2023-08-10T07:00:00+01:00, 2023-08-10T07:30:00+01:00,    nu,    nul
 0.293, 2023-08-10T07:30:00+01:00, 2023-08-10T08:00:00+01:00,    nu,    nul
 0.448, 2023-08-10T08:00:00+01:00, 2023-08-10T08:30:00+01:00,    nu,    nul
 0.409, 2023-08-10T08:30:00+01:00, 2023-08-10T09:00:00+01:00,    nu,    nul
 0.579, 2023-08-10T09:00:00+01:00, 2023-08-10T09:30:00+01:00,    nu,    nul
 0.494, 2023-08-10T09:30:00+01:00, 2023-08-10T10:00:00+01:00,    nu,    nul
 0.351, 2023-08-10T10:00:00+01:00, 2023-08-10T10:30:00+01:00,    nu,    nul
 0.382, 2023-08-10T10:30:00+01:00, 2023-08-10T11:00:00+01:00,    nu,    nul
 1.001, 2023-08-10T11:00:00+01:00, 2023-08-10T11:30:00+01:00,    nu,    nul
 0.744, 2023-08-10T11:30:00+01:00, 2023-08-10T12:00:00+01:00,    nu,    nul
 0.805, 2023-08-10T12:00:00+01:00, 2023-08-10T12:30:00+01:00,    nu,    nul
 0.398, 2023-08-10T12:30:00+01:00, 2023-08-10T13:00:00+01:00,    nu,    nul
 0.309, 2023-08-10T13:00:00+01:00, 2023-08-10T13:30:00+01:00,    nu,    nul
 0.661, 2023-08-10T13:30:00+01:00, 2023-08-10T14:00:00+01:00,    nu,    nul
 0.693, 2023-08-10T14:00:00+01:00, 2023-08-10T14:30:00+01:00,    nu,    nul
 0.394, 2023-08-10T14:30:00+01:00, 2023-08-10T15:00:00+01:00,    nu,    nul
 0.261, 2023-08-10T15:00:00+01:00, 2023-08-10T15:30:00+01:00,    nu,    nul
 0.270, 2023-08-10T15:30:00+01:00, 2023-08-10T16:00:00+01:00,    nu,    nul
 0.440, 2023-08-10T16:00:00+01:00, 2023-08-10T16:30:00+01:00,    nu,    nul
 0.646, 2023-08-10T16:30:00+01:00, 2023-08-10T17:00:00+01:00,    nu,    nul
 0.312, 2023-08-10T17:00:00+01:00, 2023-08-10T17:30:00+01:00,    nu,    nul
 0.348, 2023-08-10T17:30:00+01:00, 2023-08-10T18:00:00+01:00,    nu,    nul
 0.330, 2023-08-10T18:00:00+01:00, 2023-08-10T18:30:00+01:00,    nu,    nul
 0.334, 2023-08-10T18:30:00+01:00, 2023-08-10T19:00:00+01:00,    nu,    nul
 0.310, 2023-08-10T19:00:00+01:00, 2023-08-10T19:30:00+01:00,    nu,    nul
 0.312, 2023-08-10T19:30:00+01:00, 2023-08-10T20:00:00+01:00,    nu,    nul
 0.286, 2023-08-10T20:00:00+01:00, 2023-08-10T20:30:00+01:00,    nu,    nul
 0.316, 2023-08-10T20:30:00+01:00, 2023-08-10T21:00:00+01:00,    nu,    nul
 0.342, 2023-08-10T21:00:00+01:00, 2023-08-10T21:30:00+01:00,    nu,    nul
 0.355, 2023-08-10T21:30:00+01:00, 2023-08-10T22:00:00+01:00,    nu,    nul
 0.359, 2023-08-10T22:00:00+01:00, 2023-08-10T22:30:00+01:00,    nu,    nul
 0.370, 2023-08-10T22:30:00+01:00, 2023-08-10T23:00:00+01:00,    nu,    nul
 0.277, 2023-08-10T23:00:00+01:00, 2023-08-10T23:30:00+01:00,    nu,    nul
 0.260, 2023-08-10T23:30:00+01:00, 2023-08-11T00:00:00+01:00,    nu,    nul
 0.263, 2023-08-11T00:00:00+01:00, 2023-08-11T00:30:00+01:00,    nu,    nul
 0.230, 2023-08-11T00:30:00+01:00, 2023-08-11T01:00:00+01:00,    nu,    nul
 0.200, 2023-08-11T01:00:00+01:00, 2023-08-11T01:30:00+01:00,    nu,    nul
 0.246, 2023-08-11T01:30:00+01:00, 2023-08-11T02:00:00+01:00,    nu,    nul
 0.226, 2023-08-11T02:00:00+01:00, 2023-08-11T02:30:00+01:00,    nu,    nul
 0.216, 2023-08-11T02:30:00+01:00, 2023-08-11T03:00:00+01:00,    nu,    nul
 0.247, 2023-08-11T03:00:00+01:00, 2023-08-11T03:30:00+01:00,    nu,    nul
 0.221, 2023-08-11T03:30:00+01:00, 2023-08-11T04:00:00+01:00,    nu,    nul
 0.221, 2023-08-11T04:00:00+01:00, 2023-08-11T04:30:00+01:00,    nu,    nul
 0.222, 2023-08-11T04:30:00+01:00, 2023-08-11T05:00:00+01:00,    nu,    nul
 0.247, 2023-08-11T05:00:00+01:00, 2023-08-11T05:30:00+01:00,    nu,    nul
 0.286, 2023-08-11T05:30:00+01:00, 2023-08-11T06:00:00+01:00,    nu,    nul
 0.319, 2023-08-11T06:00:00+01:00, 2023-08-11T06:30:00+01:00,    nu,    nul
 0.442, 2023-08-11T06:30:00+01:00, 2023-08-11T07:00:00+01:00,    nu,    nul
 0.364, 2023-08-11T07:00:00+01:00, 2023-08-11T07:30:00+01:00,    nu,    nul
 0.342, 2023-08-11T07:30:00+01:00, 2023-08-11T08:00:00+01:00,    nu,    nul
 0.293, 2023-08-11T08:00:00+01:00, 2023-08-11T08:30:00+01:00,    nu,    nul
 0.370, 2023-08-11T08:30:00+01:00, 2023-08-11T09:00:00+01:00,    nu,    nul
 0.309, 2023-08-11T09:00:00+01:00, 2023-08-11T09:30:00+01:00,    nu,    nul
 0.311, 2023-08-11T09:30:00+01:00, 2023-08-11T10:00:00+01:00,    nu,    nul
 0.309, 2023-08-11T10:00:00+01:00, 2023-08-11T10:30:00+01:00,    nu,    nul
 0.379, 2023-08-11T10:30:00+01:00, 2023-08-11T11:00:00+01:00,    nu,    nul
 0.531, 2023-08-11T11:00:00+01:00, 2023-08-11T11:30:00+01:00,    nu,    nul
 0.288, 2023-08-11T11:30:00+01:00, 2023-08-11T12:00:00+01:00,    nu,    nul
 0.276, 2023-08-11T12:00:00+01:00, 2023-08-11T12:30:00+01:00,    nu,    nul
 0.304, 2023-08-11T12:30:00+01:00, 2023-08-11T13:00:00+01:00,    nu,    nul
 0.289, 2023-08-11T13:00:00+01:00, 2023-08-11T13:30:00+01:00,    nu,    nul
 0.360, 2023-08-11T13:30:00+01:00, 2023-08-11T14:00:00+01:00,    nu,    nul
 0.434, 2023-08-11T14:00:00+01:00, 2023-08-11T14:30:00+01:00,    nu,    nul
 0.412, 2023-08-11T14:30:00+01:00, 2023-08-11T15:00:00+01:00,    nu,    nul
 0.311, 2023-08-11T15:00:00+01:00, 2023-08-11T15:30:00+01:00,    nu,    nul
 0.287, 2023-08-11T15:30:00+01:00, 2023-08-11T16:00:00+01:00,    nu,    nul
 0.278, 2023-08-11T16:00:00+01:00, 2023-08-11T16:30:00+01:00,    nu,    nul
 0.507, 2023-08-11T16:30:00+01:00, 2023-08-11T17:00:00+01:00,    nu,    nul
 0.335, 2023-08-11T17:00:00+01:00, 2023-08-11T17:30:00+01:00,    nu,    nul
 0.379, 2023-08-11T17:30:00+01:00, 2023-08-11T18:00:00+01:00,    nu,    nul
 0.339, 2023-08-11T18:00:00+01:00, 2023-08-11T18:30:00+01:00,    nu,    nul
 0.386, 2023-08-11T18:30:00+01:00, 2023-08-11T19:00:00+01:00,    nu,    nul
 0.340, 2023-08-11T19:00:00+01:00, 2023-08-11T19:30:00+01:00,    nu,    nul
 0.322, 2023-08-11T19:30:00+01:00, 2023-08-11T20:00:00+01:00,    nu,    nul
 0.332, 2023-08-11T20:00:00+01:00, 2023-08-11T20:30:00+01:00,    nu,    nul
 0.345, 2023-08-11T20:30:00+01:00, 2023-08-11T21:00:00+01:00,    nu,    nul
 0.345, 2023-08-11T21:00:00+01:00, 2023-08-11T21:30:00+01:00,    nu,    nul
 0.327, 2023-08-11T21:30:00+01:00, 2023-08-11T22:00:00+01:00,    nu,    nul
 0.448, 2023-08-11T22:00:00+01:00, 2023-08-11T22:30:00+01:00,    nu,    nul
 0.358, 2023-08-11T22:30:00+01:00, 2023-08-11T23:00:00+01:00,    nu,    nul
 0.347, 2023-08-11T23:00:00+01:00, 2023-08-11T23:30:00+01:00,    nu,    nul
 0.275, 2023-08-11T23:30:00+01:00, 2023-08-12T00:00:00+01:00,    nu,    nul
 0.253, 2023-08-12T00:00:00+01:00, 2023-08-12T00:30:00+01:00,    nu,    nul
 0.223, 2023-08-12T00:30:00+01:00, 2023-08-12T01:00:00+01:00,    nu,    nul
 0.229, 2023-08-12T01:00:00+01:00, 2023-08-12T01:30:00+01:00,    nu,    nul
 0.245, 2023-08-12T01:30:00+01:00, 2023-08-12T02:00:00+01:00,    nu,    nul
 0.221, 2023-08-12T02:00:00+01:00, 2023-08-12T02:30:00+01:00,    nu,    nul
 0.231, 2023-08-12T02:30:00+01:00, 2023-08-12T03:00:00+01:00,    nu,    nul
 0.241, 2023-08-12T03:00:00+01:00, 2023-08-12T03:30:00+01:00,    nu,    nul
 0.239, 2023-08-12T03:30:00+01:00, 2023-08-12T04:00:00+01:00,    nu,    nul
 0.219, 2023-08-12T04:00:00+01:00, 2023-08-12T04:30:00+01:00,    nu,    nul
 0.251, 2023-08-12T04:30:00+01:00, 2023-08-12T05:00:00+01:00,    nu,    nul
 0.273, 2023-08-12T05:00:00+01:00, 2023-08-12T05:30:00+01:00,    nu,    nul
 0.239, 2023-08-12T05:30:00+01:00, 2023-08-12T06:00:00+01:00,    nu,    nul
 0.230, 2023-08-12T06:00:00+01:00, 2023-08-12T06:30:00+01:00,    nu,    nul
 0.265, 2023-08-12T06:30:00+01:00, 2023-08-12T07:00:00+01:00,    nu,    nul
 0.311, 2023-08-12T07:00:00+01:00, 2023-08-12T07:30:00+01:00,    nu,    nul
 0.235, 2023-08-12T07:30:00+01:00, 2023-08-12T08:00:00+01:00,    nu,    nul
 0.238, 2023-08-12T08:00:00+01:00, 2023-08-12T08:30:00+01:00,    nu,    nul
 0.303, 2023-08-12T08:30:00+01:00, 2023-08-12T09:00:00+01:00,    nu,    nul
 0.271, 2023-08-12T09:00:00+01:00, 2023-08-12T09:30:00+01:00,    nu,    nul
 0.277, 2023-08-12T09:30:00+01:00, 2023-08-12T10:00:00+01:00,    nu,    nul
 0.348, 2023-08-12T10:00:00+01:00, 2023-08-12T10:30:00+01:00,    nu,    nul
 0.292, 2023-08-12T10:30:00+01:00, 2023-08-12T11:00:00+01:00,    nu,    nul
 0.640, 2023-08-12T11:00:00+01:00, 2023-08-12T11:30:00+01:00,    nu,    nul
 1.075, 2023-08-12T11:30:00+01:00, 2023-08-12T12:00:00+01:00,    nu,    nul
 1.243, 2023-08-12T12:00:00+01:00, 2023-08-12T12:30:00+01:00,    nu,    nul
 0.942, 2023-08-12T12:30:00+01:00, 2023-08-12T13:00:00+01:00,    nu,    nul
 0.606, 2023-08-12T13:00:00+01:00, 2023-08-12T13:30:00+01:00,    nu,    nul
 0.434, 2023-08-12T13:30:00+01:00, 2023-08-12T14:00:00+01:00,    nu,    nul
 0.921, 2023-08-12T14:00:00+01:00, 2023-08-12T14:30:00+01:00,    nu,    nul
 0.600, 2023-08-12T14:30:00+01:00, 2023-08-12T15:00:00+01:00,    nu,    nul
 0.332, 2023-08-12T15:00:00+01:00, 2023-08-12T15:30:00+01:00,    nu,    nul
 0.331, 2023-08-12T15:30:00+01:00, 2023-08-12T16:00:00+01:00,    nu,    nul
 0.717, 2023-08-12T16:00:00+01:00, 2023-08-12T16:30:00+01:00,    nu,    nul
 0.370, 2023-08-12T16:30:00+01:00, 2023-08-12T17:00:00+01:00,    nu,    nul
 0.322, 2023-08-12T17:00:00+01:00, 2023-08-12T17:30:00+01:00,    nu,    nul
 0.372, 2023-08-12T17:30:00+01:00, 2023-08-12T18:00:00+01:00,    nu,    nul
 0.276, 2023-08-12T18:00:00+01:00, 2023-08-12T18:30:00+01:00,    nu,    nul
 0.282, 2023-08-12T18:30:00+01:00, 2023-08-12T19:00:00+01:00,    nu,    nul
 0.369, 2023-08-12T19:00:00+01:00, 2023-08-12T19:30:00+01:00,    nu,    nul
 0.317, 2023-08-12T19:30:00+01:00, 2023-08-12T20:00:00+01:00,    nu,    nul
 0.311, 2023-08-12T20:00:00+01:00, 2023-08-12T20:30:00+01:00,    nu,    nul
 0.250, 2023-08-12T20:30:00+01:00, 2023-08-12T21:00:00+01:00,    nu,    nul
 0.310, 2023-08-12T21:00:00+01:00, 2023-08-12T21:30:00+01:00,    nu,    nul
 0.347, 2023-08-12T21:30:00+01:00, 2023-08-12T22:00:00+01:00,    nu,    nul
 0.365, 2023-08-12T22:00:00+01:00, 2023-08-12T22:30:00+01:00,    nu,    nul
 0.321, 2023-08-12T22:30:00+01:00, 2023-08-12T23:00:00+01:00,    nu,    nul
 0.306, 2023-08-12T23:00:00+01:00, 2023-08-12T23:30:00+01:00,    nu,    nul
 0.342, 2023-08-12T23:30:00+01:00, 2023-08-13T00:00:00+01:00,    nu,    nul
 0.341, 2023-08-13T00:00:00+01:00, 2023-08-13T00:30:00+01:00,    nu,    nul
 0.321, 2023-08-13T00:30:00+01:00, 2023-08-13T01:00:00+01:00,    nu,    nul
 0.307, 2023-08-13T01:00:00+01:00, 2023-08-13T01:30:00+01:00,    nu,    nul
 0.318, 2023-08-13T01:30:00+01:00, 2023-08-13T02:00:00+01:00,    nu,    nul
 0.236, 2023-08-13T02:00:00+01:00, 2023-08-13T02:30:00+01:00,    nu,    nul
 0.217, 2023-08-13T02:30:00+01:00, 2023-08-13T03:00:00+01:00,    nu,    nul
 0.218, 2023-08-13T03:00:00+01:00, 2023-08-13T03:30:00+01:00,    nu,    nul
 0.242, 2023-08-13T03:30:00+01:00, 2023-08-13T04:00:00+01:00,    nu,    nul
 0.226, 2023-08-13T04:00:00+01:00, 2023-08-13T04:30:00+01:00,    nu,    nul
 0.215, 2023-08-13T04:30:00+01:00, 2023-08-13T05:00:00+01:00,    nu,    nul
 0.302, 2023-08-13T05:00:00+01:00, 2023-08-13T05:30:00+01:00,    nu,    nul
 0.395, 2023-08-13T05:30:00+01:00, 2023-08-13T06:00:00+01:00,    nu,    nul
 0.337, 2023-08-13T06:00:00+01:00, 2023-08-13T06:30:00+01:00,    nu,    nul
 0.233, 2023-08-13T06:30:00+01:00, 2023-08-13T07:00:00+01:00,    nu,    nul
 0.243, 2023-08-13T07:00:00+01:00, 2023-08-13T07:30:00+01:00,    nu,    nul
 0.250, 2023-08-13T07:30:00+01:00, 2023-08-13T08:00:00+01:00,    nu,    nul
 0.226, 2023-08-13T08:00:00+01:00, 2023-08-13T08:30:00+01:00,    nu,    nul
 0.282, 2023-08-13T08:30:00+01:00, 2023-08-13T09:00:00+01:00,    nu,    nul
 0.343, 2023-08-13T09:00:00+01:00, 2023-08-13T09:30:00+01:00,    nu,    nul
 0.465, 2023-08-13T09:30:00+01:00, 2023-08-13T10:00:00+01:00,    nu,    nul
 0.252, 2023-08-13T10:00:00+01:00, 2023-08-13T10:30:00+01:00,    nu,    nul
 0.301, 2023-08-13T10:30:00+01:00, 2023-08-13T11:00:00+01:00,    nu,    nul
 0.295, 2023-08-13T11:00:00+01:00, 2023-08-13T11:30:00+01:00,    nu,    nul
 0.275, 2023-08-13T11:30:00+01:00, 2023-08-13T12:00:00+01:00,    nu,    nul
 0.262, 2023-08-13T12:00:00+01:00, 2023-08-13T12:30:00+01:00,    nu,    nul
 0.278, 2023-08-13T12:30:00+01:00, 2023-08-13T13:00:00+01:00,    nu,    nul
 0.423, 2023-08-13T13:00:00+01:00, 2023-08-13T13:30:00+01:00,    nu,    nul
 0.872, 2023-08-13T13:30:00+01:00, 2023-08-13T14:00:00+01:00,    nu,    nul
 0.788, 2023-08-13T14:00:00+01:00, 2023-08-13T14:30:00+01:00,    nu,    nul
 0.267, 2023-08-13T14:30:00+01:00, 2023-08-13T15:00:00+01:00,    nu,    nul
 0.371, 2023-08-13T15:00:00+01:00, 2023-08-13T15:30:00+01:00,    nu,    nul
 0.306, 2023-08-13T15:30:00+01:00, 2023-08-13T16:00:00+01:00,    nu,    nul
 0.323, 2023-08-13T16:00:00+01:00, 2023-08-13T16:30:00+01:00,    nu,    nul
 0.317, 2023-08-13T16:30:00+01:00, 2023-08-13T17:00:00+01:00,    nu,    nul
 0.276, 2023-08-13T17:00:00+01:00, 2023-08-13T17:30:00+01:00,    nu,    nul
 0.531, 2023-08-13T17:30:00+01:00, 2023-08-13T18:00:00+01:00,    nu,    nul
 0.290, 2023-08-13T18:00:00+01:00, 2023-08-13T18:30:00+01:00,    nu,    nul
 0.321, 2023-08-13T18:30:00+01:00, 2023-08-13T19:00:00+01:00,    nu,    nul
 0.309, 2023-08-13T19:00:00+01:00, 2023-08-13T19:30:00+01:00,    nu,    nul
 0.333, 2023-08-13T19:30:00+01:00, 2023-08-13T20:00:00+01:00,    nu,    nul
 0.319, 2023-08-13T20:00:00+01:00, 2023-08-13T20:30:00+01:00,    nu,    nul
 0.323, 2023-08-13T20:30:00+01:00, 2023-08-13T21:00:00+01:00,    nu,    nul
 0.282, 2023-08-13T21:00:00+01:00, 2023-08-13T21:30:00+01:00,    nu,    nul
 0.310, 2023-08-13T21:30:00+01:00, 2023-08-13T22:00:00+01:00,    nu,    nul
 0.310, 2023-08-13T22:00:00+01:00, 2023-08-13T22:30:00+01:00,    nu,    nul
 0.306, 2023-08-13T22:30:00+01:00, 2023-08-13T23:00:00+01:00,    nu,    nul
 0.274, 2023-08-13T23:00:00+01:00, 2023-08-13T23:30:00+01:00,    nu,    nul
